Sample	Uniq_SampleID	Date of Collection	Avg Cov	Pangolin	GISAID_ID
ME-HETL-J0140	ME-HETL-J0140	9/10/20	9618	B.1.2	EPI_ISL_755334
ME-HETL-J0141	ME-HETL-J0141	9/9/20	13023	B.1	EPI_ISL_755335
ME-HETL-J0142	ME-HETL-J0142	9/10/20	2342	B.1.1.8	EPI_ISL_755336
ME-HETL-J0143	ME-HETL-J0143	9/11/20	269	B.1	#N/A
ME-HETL-J0145	ME-HETL-J0145	9/11/20	10252	B.1.2	EPI_ISL_755337
ME-HETL-J0146	ME-HETL-J0146	9/11/20	7325	B.1.2	EPI_ISL_755338
ME-HETL-J0148	ME-HETL-J0148	9/11/20	2645	B.1.2	#N/A
ME-HETL-J0149	ME-HETL-J0149	9/11/20	3249	B.1.2	EPI_ISL_755339
ME-HETL-J0150	ME-HETL-J0150	9/11/20	9739	B.1.2	EPI_ISL_755340
ME-HETL-J0155	ME-HETL-J0155	9/11/20	8983	B.1.2	EPI_ISL_755341
ME-HETL-J0158	ME-HETL-J0158	9/13/20	13318	B.1.243	EPI_ISL_755342
ME-HETL-J0159	ME-HETL-J0159	9/13/20	11885	B.1.243	EPI_ISL_755343
ME-HETL-J0160	ME-HETL-J0160	9/13/20	14681	B.1.2	#N/A
ME-HETL-J0161	ME-HETL-J0161	9/14/20	8175	B.1.243	EPI_ISL_755344
ME-HETL-J0162	ME-HETL-J0162	9/14/20	3687	B.1	EPI_ISL_755345
ME-HETL-J0163	ME-HETL-J0163	9/14/20	13125	B.1	EPI_ISL_755346
ME-HETL-J0165	ME-HETL-J0165	9/15/20	13219	B.1.2	EPI_ISL_755347
ME-HETL-J0166	ME-HETL-J0166	9/15/20	14548	B.1.1.434	EPI_ISL_755348
ME-HETL-J0167	ME-HETL-J0167	9/15/20	14278	B.1.2	EPI_ISL_755349
ME-HETL-J0168	ME-HETL-J0168	9/14/20	2353	B.1.1.434	EPI_ISL_755350
ME-HETL-J0169	ME-HETL-J0169	9/15/20	1660	B.1.1.434	EPI_ISL_755351
ME-HETL-J0170	ME-HETL-J0170	9/15/20	11844	B.1.2	EPI_ISL_755352
ME-HETL-J0172	ME-HETL-J0172	9/15/20	11898	B.1.2	EPI_ISL_755353
ME-HETL-J0173	ME-HETL-J0173	9/15/20	997	B.1.1.434	EPI_ISL_755354
ME-HETL-J0174	ME-HETL-J0174	9/15/20	9129	B.1.1.434	EPI_ISL_755355
ME-HETL-J0175	ME-HETL-J0175	9/15/20	15500		EPI_ISL_755356
ME-HETL-J0176	ME-HETL-J0176	9/15/20	13096	B.1	EPI_ISL_755357
ME-HETL-J0178	ME-HETL-J0178	9/16/20	6745	B.1.1.434	EPI_ISL_755358
ME-HETL-J0179	ME-HETL-J0179	9/16/20	11935	B.1.1.434	EPI_ISL_755359
ME-HETL-J0180	ME-HETL-J0180	9/16/20	8764	B.1.1.434	EPI_ISL_755360
ME-HETL-J0181	ME-HETL-J0181	9/16/20	12243	B.1.1.434	EPI_ISL_755361
ME-HETL-J0182	ME-HETL-J0182	9/15/20	14390	B.1.2	#N/A
ME-HETL-J0183	ME-HETL-J0183	9/15/20	15742	B.1.2	#N/A
ME-HETL-J0184	ME-HETL-J0184	9/16/20	11980	B.1	EPI_ISL_755362
ME-HETL-J0185	ME-HETL-J0185	9/16/20	1952	B.1.2	EPI_ISL_755363
ME-HETL-J0186	ME-HETL-J0186	9/16/20	2486	B.1	EPI_ISL_755364
ME-HETL-J0187	ME-HETL-J0187	9/16/20	3720	B.1	EPI_ISL_755365
ME-HETL-J0188	ME-HETL-J0188	9/17/20	9808	B.1.2	EPI_ISL_755366
ME-HETL-J0190	ME-HETL-J0190	9/17/20	6646	B.1.2	EPI_ISL_755367
ME-HETL-J0193	ME-HETL-J0193	9/16/20	4734	B.1.1.434	EPI_ISL_755368
ME-HETL-J0194	ME-HETL-J0194	9/17/20	1814	B.1.243	EPI_ISL_755369
ME-HETL-J0199	ME-HETL-J0199	9/18/20	8648	B.1.1.434	EPI_ISL_755370
ME-HETL-J0201	ME-HETL-J0201	9/19/20	10216	B.1.2	#N/A
ME-HETL-J0202	ME-HETL-J0202	9/18/20	14161	B.1.2	#N/A
ME-HETL-J0203	ME-HETL-J0203	9/20/20	14322	B.1.2	EPI_ISL_755371
ME-HETL-J0204	ME-HETL-J0204	9/21/20	12268	B.1.2	EPI_ISL_755372
ME-HETL-J0206	ME-HETL-J0206	9/21/20	6829	B.1	EPI_ISL_755373
ME-HETL-J0208	ME-HETL-J0208	9/22/20	4038	B.1.2	#N/A
ME-HETL-J0209	ME-HETL-J0209	9/22/20	8805	B.1.2	#N/A
ME-HETL-J0210	ME-HETL-J0210	9/22/20	15699	B.1.1.434	EPI_ISL_755374
ME-HETL-J0212	ME-HETL-J0212	9/22/20	5212	B.1	EPI_ISL_755375
ME-HETL-J0213	ME-HETL-J0213	9/22/20	1296	B.1	EPI_ISL_755376
ME-HETL-J0214	ME-HETL-J0214	9/22/20	16641	B.1.606	EPI_ISL_755377
ME-HETL-J0215	ME-HETL-J0215	9/23/20	14800	B.1.2	EPI_ISL_755378
ME-HETL-J0216	ME-HETL-J0216	9/23/20	15721	B.1.396	EPI_ISL_755379
ME-HETL-J0217	ME-HETL-J0217	9/23/20	8371	B.1.2	EPI_ISL_755380
ME-HETL-J0220	ME-HETL-J0220	9/23/20	7381	B.1.2	EPI_ISL_755381
ME-HETL-J0221	ME-HETL-J0221	9/23/20	1438	B.1.2	EPI_ISL_755382
ME-HETL-J0222	ME-HETL-J0222	9/24/20	12017	B.1.2	EPI_ISL_755383
ME-HETL-J0224	ME-HETL-J0224	9/23/20	17678	B.1.1.434	EPI_ISL_755384
ME-HETL-J0225	ME-HETL-J0225	9/24/20	584	B.1.2	EPI_ISL_755385
ME-HETL-J0226	ME-HETL-J0226	9/25/20	6628	B.1.1.434	EPI_ISL_755386
ME-HETL-J0227	ME-HETL-J0227	9/25/20	9966	B.1.243	EPI_ISL_755387
ME-HETL-J0228	ME-HETL-J0228	9/25/20	8095	B.1.1.461	EPI_ISL_755388
ME-HETL-J0229	ME-HETL-J0229	9/25/20	1102	B.1.2	#N/A
ME-HETL-J0230	ME-HETL-J0230	9/26/20	247	B.1	#N/A
ME-HETL-J0232	ME-HETL-J0232	9/25/20	11184	B.1.2	EPI_ISL_755389
ME-HETL-J0233	ME-HETL-J0233	9/25/20	13882	B.1.2	EPI_ISL_755390
ME-HETL-J0234	ME-HETL-J0234	9/25/20	12704	B.1.2	EPI_ISL_755391
ME-HETL-J0235	ME-HETL-J0235	9/25/20	14634	B.1.1.434	EPI_ISL_755392
ME-HETL-J0237	ME-HETL-J0237	9/26/20	795	B.1.1.434	EPI_ISL_755393
ME-HETL-J0238	ME-HETL-J0238	9/26/20	11060	B.1.2	EPI_ISL_755394
ME-HETL-J0239	ME-HETL-J0239	9/27/20	13110	B.1.1.434	EPI_ISL_755395
ME-HETL-J0240	ME-HETL-J0240	9/26/20	17760	B.1.1.434	EPI_ISL_755396
ME-HETL-J0241	ME-HETL-J0241	9/26/20	13926	B.1.2	EPI_ISL_755397
ME-HETL-J0242	ME-HETL-J0242	9/28/20	15358	B.1.2	EPI_ISL_755398
ME-HETL-J0243	ME-HETL-J0243	9/26/20	15279	B.1.1.434	EPI_ISL_755399
ME-HETL-J0244	ME-HETL-J0244	9/26/20	14019	B.1.1.434	EPI_ISL_755400
ME-HETL-J0246	ME-HETL-J0246	9/28/20	12636	B.1.234	EPI_ISL_755401
ME-HETL-J0247	ME-HETL-J0247	9/28/20	12816	B.1	EPI_ISL_755402
ME-HETL-J0248	ME-HETL-J0248	9/28/20	16774	B.1.2	#N/A
ME-HETL-J0249	ME-HETL-J0249	9/28/20	12598	B.1.2	#N/A
ME-HETL-J0250	ME-HETL-J0250	9/28/20	6462	B.1.1.434	EPI_ISL_755403
ME-HETL-J0251	ME-HETL-J0251	9/28/20	9729	B.1.2	EPI_ISL_755404
ME-HETL-J0256	ME-HETL-J0256	9/28/20	18508	B.1.349	EPI_ISL_755405
ME-HETL-J0258	ME-HETL-J0258	9/28/20	17751	B.1.349	EPI_ISL_755406
ME-HETL-J0259	ME-HETL-J0259	9/29/20	14242	B.1.2	EPI_ISL_755407
ME-HETL-J0260	ME-HETL-J0260	9/29/20	14665		EPI_ISL_755408
ME-HETL-J0261	ME-HETL-J0261	9/29/20	561	B.1.1.434	EPI_ISL_755409
ME-HETL-J0263	ME-HETL-J0263	9/29/20	19542	B.1.349	EPI_ISL_755410
ME-HETL-J0264	ME-HETL-J0264	9/29/20	15756	B.1.349	EPI_ISL_755411
ME-HETL-J0266	ME-HETL-J0266	9/29/20	16730	B.1.349	EPI_ISL_755412
ME-HETL-J0267	ME-HETL-J0267	9/29/20	2059	B.1.234	EPI_ISL_755413
ME-HETL-J0268	ME-HETL-J0268	9/29/20	17116	B.1.234	EPI_ISL_755414
ME-HETL-J0269	ME-HETL-J0269	9/29/20	1527		EPI_ISL_755415
ME-HETL-J0270	ME-HETL-J0270	10/1/20	20897	B.1.1.434	EPI_ISL_755416
ME-HETL-J0271	ME-HETL-J0271	9/30/20	401	B.1.2	EPI_ISL_755417
ME-HETL-J0272	ME-HETL-J0272	10/1/20	17872	B.1.1.434	EPI_ISL_755418
ME-HETL-J0273	ME-HETL-J0273	10/1/20	8498	B.1	EPI_ISL_755419
ME-HETL-J0274	ME-HETL-J0274	10/2/20	11145	B.1.1.265	EPI_ISL_755420
ME-HETL-J0275	ME-HETL-J0275	10/3/20	8246	B.1.2	EPI_ISL_755421
ME-HETL-J0276	ME-HETL-J0276	10/4/20	16778	B.1.543	EPI_ISL_755422
ME-HETL-J0277	ME-HETL-J0277	10/4/20	9700	B.1.543	EPI_ISL_755423
ME-HETL-J0278	ME-HETL-J0278	10/4/20	19250	B.1.2	EPI_ISL_755424
ME-HETL-J0279	ME-HETL-J0279	10/4/20	21121	B.1.2	EPI_ISL_755425
ME-HETL-J0280	ME-HETL-J0280	10/5/20	203	B.1	EPI_ISL_755426
ME-HETL-J0281	ME-HETL-J0281	10/5/20	9493	B.1.2	#N/A
ME-HETL-J0284	ME-HETL-J0284	10/5/20	1113	B.1.596	EPI_ISL_755427
ME-HETL-J0285	ME-HETL-J0285	10/5/20	17766	B.1.234	EPI_ISL_755428
ME-HETL-J0286	ME-HETL-J0286	10/5/20	13666	B.1.234	EPI_ISL_755429
ME-HETL-J0287	ME-HETL-J0287	10/5/20	5545	B.1	EPI_ISL_755430
ME-HETL-J0288	ME-HETL-J0288	10/5/20	6320	B.1.2	EPI_ISL_755431
ME-HETL-J0289	ME-HETL-J0289	10/5/20	17427	B.1.1.305	#N/A
ME-HETL-J0290	ME-HETL-J0290	10/5/20	17124	B.1.369	EPI_ISL_755432
ME-HETL-J0291	ME-HETL-J0291	10/6/20	9503	B.1.2	EPI_ISL_755433
ME-HETL-J0294	ME-HETL-J0294	11/30/20	18433	B.1.2	EPI_ISL_755434
ME-HETL-J0296	ME-HETL-J0296	11/30/20	1458	B.1.243	EPI_ISL_755435
ME-HETL-J0298	ME-HETL-J0298	11/30/20	16746	B.1.2	EPI_ISL_755436
ME-HETL-J0299	ME-HETL-J0299	11/30/20	12622	B.1.243	EPI_ISL_755437
ME-HETL-J0300	ME-HETL-J0300	11/30/20	1147	B.1.240	EPI_ISL_755438
ME-HETL-J0301	ME-HETL-J0301	11/30/20	13462	B.1.2	EPI_ISL_755439
ME-HETL-J0302	ME-HETL-J0302	11/30/20	5819	B.1.240	EPI_ISL_755440
ME-HETL-J0303	ME-HETL-J0303	12/1/20	15210	B.1.298	EPI_ISL_755441
ME-HETL-J0304	ME-HETL-J0304	12/1/20	1564	B.1.298	EPI_ISL_755442
ME-HETL-J0306	ME-HETL-J0306	12/1/20	17697	B.1.240	EPI_ISL_755443
ME-HETL-J0307	ME-HETL-J0307	11/30/20	343	B.1.110.3	#N/A
ME-HETL-J0308	ME-HETL-J0308	11/30/20	4924	B.1.110.3	#N/A
ME-HETL-J0310	ME-HETL-J0310	11/30/20	13218	B.1.110.3	#N/A
ME-HETL-J0311	ME-HETL-J0311	11/30/20	4370	B.1.110.3	#N/A
ME-HETL-J0312	ME-HETL-J0312	11/30/20	10000	B.1.2	EPI_ISL_755444
ME-HETL-J0313	ME-HETL-J0313	11/30/20	7089	B.1.240	#N/A
ME-HETL-J0315	ME-HETL-J0315	11/30/20	1673	B.1.349	EPI_ISL_755445
ME-HETL-J0316	ME-HETL-J0316	11/30/20	15098	B.1.2	EPI_ISL_755446
ME-HETL-J0317	ME-HETL-J0317	11/30/20	899	B.1	EPI_ISL_755447
ME-HETL-J0318	ME-HETL-J0318	11/30/20	15145	B.1.517	EPI_ISL_755448
ME-HETL-J0319	ME-HETL-J0319	11/30/20	835	B.1	#N/A
ME-HETL-J0320	ME-HETL-J0320	11/30/20	16288	B.1.2	EPI_ISL_755449
ME-HETL-J0321	ME-HETL-J0321	11/30/20	15782	B.1.2	EPI_ISL_755450
ME-HETL-J0322	ME-HETL-J0322	11/30/20	10529	B.1.2	EPI_ISL_755451
ME-HETL-J0323	ME-HETL-J0323	11/30/20	17330	B.1.2	EPI_ISL_755452
ME-HETL-J0324	ME-HETL-J0324	11/30/20	3387	B.1	EPI_ISL_755453
ME-HETL-J0325	ME-HETL-J0325	11/30/20	489	B.1.2	EPI_ISL_755454
ME-HETL-J0327	ME-HETL-J0327	11/30/20	1050	B.1.2	EPI_ISL_755455
ME-HETL-J0328	ME-HETL-J0328	11/24/20	584	B.1.2	EPI_ISL_755456
ME-HETL-J0329	ME-HETL-J0329	11/24/20	10902	B.1.1.464	EPI_ISL_755457
ME-HETL-J0330	ME-HETL-J0330	11/24/20	8761	B.1.361	EPI_ISL_755458
ME-HETL-J0331	ME-HETL-J0331	11/24/20	289	B.1.2	EPI_ISL_755459
ME-HETL-J0332	ME-HETL-J0332	11/24/20	1328	B.1.361	EPI_ISL_755460
ME-HETL-J0333	ME-HETL-J0333	11/24/20	1822	B.1.517	EPI_ISL_755461
ME-HETL-J0334	ME-HETL-J0334	11/24/20	13245	B.1.517	EPI_ISL_755462
ME-HETL-J0335	ME-HETL-J0335	11/24/20	12081	B.1.2	EPI_ISL_755463
ME-HETL-J0336	ME-HETL-J0336	11/24/20	1495	B.1.2	EPI_ISL_755464
ME-HETL-J0337	ME-HETL-J0337	11/24/20	17216	B.1.2	EPI_ISL_755465
ME-HETL-J0338	ME-HETL-J0338	11/24/20	2399	B.1.2	EPI_ISL_755466
ME-HETL-J0339	ME-HETL-J0339	11/24/20	16857	B.1.2	EPI_ISL_755467
ME-HETL-J0340	ME-HETL-J0340	11/24/20	15545	B.1.2	EPI_ISL_755468
ME-HETL-J0341	ME-HETL-J0341	11/24/20	12840	B.1.2	EPI_ISL_755469
ME-HETL-J0344	ME-HETL-J0344	11/24/20	16572	B.1.2	EPI_ISL_755470
ME-HETL-J0345	ME-HETL-J0345	11/24/20	12880	B.1.2	EPI_ISL_755471
ME-HETL-J0346	ME-HETL-J0346	11/24/20	4063	B.1.2	EPI_ISL_755472
ME-HETL-J0347	ME-HETL-J0347	11/24/20	14932	B.1.2	EPI_ISL_755473
ME-HETL-J0349	ME-HETL-J0349	11/23/20	13593	B.1.2	EPI_ISL_755474
ME-HETL-J0350	ME-HETL-J0350	11/23/20	13078	B.1.2	EPI_ISL_755475
ME-HETL-J0351	ME-HETL-J0351	11/23/20	16492	B.1.2	EPI_ISL_755476
ME-HETL-J0353	ME-HETL-J0353	11/24/20	6453	B.1.2	#N/A
ME-HETL-J0354	ME-HETL-J0354	11/24/20	11154	B.1.517	EPI_ISL_755477
ME-HETL-J0355	ME-HETL-J0355	11/24/20	15459	B.1.375	EPI_ISL_755478
